library,input,uniquely_mapped,multiple_loci,too_many_loci,percent_unmapped_too_many_mismatches,percent_unmapped_too_short
IL7115-721-502,1413170,1229365,150352,3381,0.67%,1.37%
IL7115-722-502,467054,393346,29260,483,0.64%,8.76%
IL7115-723-502,548965,443414,59673,783,0.66%,7.48%
IL7115-724-502,1019121,935615,55145,1612,0.51%,2.06%
IL7115-726-502,1124710,950922,127821,2997,0.70%,2.98%
IL7115-727-502,1209470,1097145,84956,1596,0.58%,1.53%
IL7115-728-502,1249257,1083061,136840,3322,0.68%,1.29%
IL7115-729-502,138527,130575,5090,72,0.50%,1.50%
IL7115-701-513,891667,734599,131148,1181,0.69%,2.06%
IL7115-702-513,804383,689756,86786,1967,0.68%,2.50%
IL7115-703-513,690518,322120,224177,548,0.78%,20.02%
IL7115-704-513,1097428,928248,142915,2414,0.69%,1.40%
IL7115-705-513,1097984,956396,115780,3075,0.66%,1.37%
IL7115-706-513,1063233,931411,108296,2109,0.66%,1.31%
IL7115-707-513,1156208,999771,121194,4341,0.70%,1.89%
IL7115-710-513,1077400,933117,121183,1850,0.67%,1.28%
IL7115-711-513,1195806,1049667,116235,3444,0.68%,1.46%
IL7115-712-513,979364,734061,192479,3875,0.71%,4.18%
IL7115-714-513,1134568,965098,131652,5215,0.67%,2.12%
IL7115-715-513,1186973,1011183,150146,2022,0.66%,1.28%
IL7115-716-513,1067004,906712,133512,2814,0.66%,1.51%
IL7115-718-513,1092771,931044,131365,3249,0.70%,1.71%
IL7115-719-513,1100851,943768,132282,3347,0.69%,1.17%
IL7115-720-513,1112157,926978,152038,3118,0.72%,1.93%
IL7115-721-513,1107052,958123,118909,2685,0.69%,1.72%
IL7115-722-513,943158,816032,105107,1611,0.69%,1.38%
IL7115-723-513,1089268,886160,173695,3632,0.71%,1.52%
IL7115-724-513,916433,659984,195244,5743,0.82%,5.06%
IL7115-726-513,1261088,1097987,130490,3049,0.68%,1.61%
IL7115-727-513,659571,503535,131153,4000,0.83%,2.24%
IL7115-728-513,608496,516659,75255,1438,0.75%,1.66%
IL7115-729-513,712458,615641,78837,1439,0.72%,1.55%
IL7115-701-503,1277412,1110980,137794,2341,0.66%,1.34%
IL7115-702-503,937490,818715,93721,2149,0.72%,1.67%
IL7115-703-503,1098374,948103,127180,2409,0.70%,1.14%
IL7115-704-503,1084627,898374,150637,3436,0.71%,2.17%
IL7115-705-503,1232819,1050702,156779,1087,0.63%,1.31%
IL7115-706-503,1289885,1071026,177787,5179,0.70%,2.01%
IL7115-707-503,1110861,937874,133370,4298,0.68%,2.41%
IL7115-710-503,998496,824807,132033,4338,0.73%,2.89%
IL7115-711-503,705255,453513,210089,3562,0.83%,4.42%
IL7115-712-503,538945,299142,170773,2898,0.82%,10.99%
IL7115-714-503,863474,418552,388443,2758,0.80%,5.31%
IL7115-715-503,745381,459677,255797,2046,0.81%,2.80%
IL7115-716-503,834943,601177,192637,3109,0.74%,3.68%
IL7115-718-503,757008,338136,351468,3044,0.89%,7.53%
IL7115-719-503,957912,785357,131886,4761,0.70%,2.96%
IL7115-720-503,959080,801228,131466,1634,0.69%,1.85%
IL7115-721-503,736437,626604,83618,1808,0.69%,2.54%
IL7115-722-503,674534,443749,184602,999,0.76%,5.92%
IL7115-723-503,639751,415836,170620,2769,0.80%,7.00%
IL7115-724-503,998741,824491,146176,2212,0.71%,1.78%
IL7115-726-503,920070,772933,122533,2083,0.72%,1.68%
IL7115-727-503,754868,450339,274549,4340,0.86%,2.49%
IL7115-728-503,702488,419073,230556,3380,0.86%,6.01%
IL7115-729-503,302663,226825,65831,670,0.90%,2.14%
IL7115-701-515,585364,426568,133205,1313,0.77%,3.31%
IL7115-702-515,569731,477575,73974,967,0.74%,2.25%
IL7115-703-515,694970,590246,86379,1323,0.75%,1.64%
IL7115-704-515,551441,290151,238429,1257,0.90%,2.83%
IL7115-705-515,765530,482930,226850,3233,0.82%,5.87%
IL7115-706-515,666697,399594,226597,5370,0.98%,4.20%
IL7115-707-515,680508,545826,111914,1711,0.78%,2.24%
IL7115-710-515,800804,657201,117065,2845,0.77%,2.11%
IL7115-711-515,915803,756321,134622,1648,0.73%,1.76%
IL7115-712-515,915361,773934,118795,1508,0.67%,1.60%
IL7115-714-515,863908,711793,120934,3078,0.75%,2.45%
IL7115-715-515,885751,733945,128262,1062,0.67%,1.82%
IL7115-716-515,762580,533424,192071,2173,0.76%,3.79%
IL7115-718-515,853478,706224,125884,1527,0.71%,1.53%
IL7115-719-515,888042,716568,145820,2091,0.72%,1.89%
IL7115-720-515,970249,802986,137137,2557,0.71%,2.09%
IL7115-721-515,832531,681396,125602,2562,0.76%,1.89%
IL7115-722-515,848997,709211,104237,3071,0.72%,3.05%
IL7115-723-515,912607,717472,154359,4500,0.73%,3.15%
IL7115-724-515,911923,743171,146494,1418,0.69%,1.58%
IL7115-726-515,940429,804533,109164,2235,0.72%,1.78%
IL7115-727-515,782017,587116,113050,10606,0.69%,8.37%
IL7115-728-515,352472,274003,66241,1158,0.90%,2.21%
IL7115-729-515,9,1,2,0,22.22%,44.44%
IL7115-701-505,695067,559852,110619,1547,0.77%,2.47%
IL7115-702-505,393366,310254,64741,1194,0.81%,3.45%
IL7115-703-505,725137,587333,115603,2018,0.77%,1.99%
IL7115-704-505,671761,529732,112955,3669,0.79%,2.90%
IL7115-705-505,774770,617431,130136,1435,0.70%,2.52%
IL7115-706-505,753399,602908,122924,4535,0.79%,2.23%
IL7115-707-505,654838,506873,119834,2322,0.76%,3.07%
IL7115-710-505,613276,400146,170145,2072,0.82%,5.78%
IL7115-711-505,749464,613754,112867,2165,0.73%,2.00%
IL7115-712-505,849883,711575,109176,3729,0.76%,2.17%
IL7115-714-505,1217295,1006828,172364,3877,0.76%,1.99%
IL7115-715-505,1074800,798272,228114,1466,0.70%,3.54%
IL7115-716-505,967884,456745,421844,8069,0.80%,7.55%
IL7115-718-505,1002354,700904,255283,1918,0.73%,3.62%
IL7115-719-505,987478,603487,317241,4192,0.81%,5.48%
IL7115-720-505,1121011,890570,173617,4459,0.82%,3.81%
IL7115-721-505,1228268,1010859,175461,3660,0.68%,2.40%
IL7115-722-505,1039816,621979,340028,5504,0.78%,6.08%
IL7115-723-505,1367521,1161298,157301,3153,0.65%,2.64%
IL7115-724-505,1081825,706246,295725,7738,0.86%,5.69%
IL7115-726-505,1141186,851257,168647,3862,1.16%,9.06%
IL7115-727-505,1177250,769737,316078,3602,0.72%,6.63%
IL7115-728-505,58,21,8,0,8.62%,41.38%
IL7115-729-505,5,0,3,0,20.00%,20.00%
IL7115-701-516,1009307,584176,377009,3675,0.84%,3.37%
IL7115-702-516,713752,515687,135827,1173,0.70%,7.83%
IL7115-703-516,821142,656355,137976,2090,0.74%,2.23%
IL7115-704-516,855100,729882,99353,1675,0.70%,2.06%
IL7115-705-516,888057,748871,114916,2044,0.70%,1.76%
IL7115-706-516,1266080,1000028,216181,1940,0.63%,3.15%
IL7115-707-516,1170723,972675,160062,4286,0.74%,2.09%
IL7115-710-516,985791,808486,142748,3162,0.74%,2.36%
IL7115-711-516,1302559,1097451,159502,2695,0.68%,2.59%
IL7115-712-516,1149425,968119,141732,4688,0.72%,2.22%
IL7115-714-516,1356863,1140203,178361,1691,0.65%,2.02%
IL7115-715-516,1112757,947193,136941,1757,0.69%,1.69%
IL7115-716-516,1131517,945049,146191,3057,0.69%,2.55%
IL7115-718-516,1279640,1109486,130902,1934,0.65%,2.22%
IL7115-719-516,1303237,1069439,181592,5679,0.69%,2.81%
IL7115-720-516,1269143,1038238,189593,2526,0.70%,2.34%
IL7115-721-516,1230184,1018534,170167,6269,0.69%,2.09%
IL7115-722-516,1168759,968672,155698,3738,0.67%,2.75%
IL7115-723-516,1284499,1082345,154187,4052,0.69%,2.65%
IL7115-724-516,1272227,1089298,150792,1968,0.64%,1.68%
IL7115-726-516,1212517,915090,122156,8127,0.68%,13.03%
IL7115-727-516,1457281,1255548,166144,1688,0.66%,1.59%
IL7115-728-516,800446,672328,106441,1513,0.75%,1.72%
IL7115-729-516,6,2,1,0,16.67%,33.33%
IL7115-701-506,1145513,947493,151191,5150,0.76%,2.76%
IL7115-702-506,685085,562670,97728,1596,0.74%,2.59%
IL7115-703-506,1157573,990698,109151,3933,0.69%,3.89%
IL7115-704-506,802996,663027,115387,1939,0.78%,1.99%
IL7115-705-506,1235478,1046143,149834,2919,0.67%,2.19%
IL7115-706-506,1123202,942774,141655,3811,0.73%,2.27%
IL7115-707-506,1132902,952028,145144,2913,0.70%,2.12%
IL7115-710-506,960060,793067,135759,2179,0.73%,2.22%
IL7115-711-506,1283499,1056097,179985,4100,0.71%,2.59%
IL7115-712-506,1285414,1084145,160123,3204,0.67%,2.19%
IL7115-714-506,1331360,1111716,181230,1879,0.68%,2.04%
IL7115-715-506,1123383,962426,118627,3614,0.66%,2.71%
IL7115-716-506,1380827,1172174,163526,5061,0.62%,2.19%
IL7115-718-506,1195560,1016431,149840,2425,0.65%,1.52%
IL7115-719-506,1177526,982223,158057,3047,0.69%,2.17%
IL7115-720-506,1395564,1129166,212202,925,0.63%,3.13%
IL7115-721-506,1135139,758245,312777,2100,0.78%,4.66%
IL7115-722-506,1137700,927413,170973,4844,0.65%,2.29%
IL7115-723-506,1264058,1057078,163512,3710,0.68%,2.39%
IL7115-724-506,1167024,992822,138281,3133,0.71%,2.00%
IL7115-726-506,1408155,1177248,179871,5932,0.72%,2.38%
IL7115-727-506,1253749,1044325,165558,4201,0.70%,2.38%
IL7115-728-506,1074092,918228,124631,3002,0.69%,1.87%
IL7115-729-506,6,2,1,0,0.00%,50.00%
IL7115-701-517,1224357,973148,200671,2626,0.74%,3.10%
IL7115-702-517,681538,523645,125335,909,0.86%,3.73%
IL7115-703-517,1004087,787221,181554,2412,0.78%,2.45%
IL7115-704-517,886081,703345,145624,1800,0.77%,3.13%
IL7115-705-517,1155405,898657,190703,3395,0.80%,4.52%
IL7115-706-517,1231163,972484,213894,1864,0.72%,2.69%
IL7115-707-517,1415568,1160648,211157,1948,0.65%,2.20%
IL7115-710-517,1240353,970680,219291,4305,0.78%,2.82%
IL7115-711-517,1206292,946925,208008,2447,0.74%,3.24%
IL7115-712-517,1217095,993693,181574,2186,0.71%,2.47%
IL7115-714-517,1146032,930163,179207,1866,0.72%,2.21%
IL7115-715-517,1123419,894565,185387,3798,0.75%,2.65%
IL7115-716-517,1134511,905937,184539,1824,0.73%,2.93%
IL7115-718-517,1116826,840512,225928,2875,0.74%,3.42%
IL7115-719-517,1155114,923980,180019,3660,0.71%,3.29%
IL7115-720-517,1229379,957503,217127,2295,0.74%,3.49%
IL7115-721-517,1388741,1146633,191931,2064,0.68%,2.68%
IL7115-722-517,1307445,1061909,195072,4041,0.72%,2.74%
IL7115-723-517,1301789,1028669,226171,3585,0.74%,2.49%
IL7115-724-517,1292059,1022397,221539,3290,0.73%,2.64%
IL7115-726-517,1310562,989872,258213,3205,0.77%,3.66%
IL7115-727-517,1269490,1052346,175766,2920,0.70%,2.26%
IL7115-728-517,24,12,2,0,16.67%,25.00%
IL7115-729-517,13,8,1,0,7.69%,23.08%
IL7115-701-507,1134506,911762,180313,2288,0.74%,2.71%
IL7115-702-507,887427,683020,162223,2714,0.75%,3.60%
IL7115-703-507,911956,699980,172084,2546,0.82%,3.22%
IL7115-704-507,894618,714881,149653,1916,0.76%,2.31%
IL7115-705-507,1146412,900566,205763,2956,0.71%,2.46%
IL7115-706-507,1230013,1013847,172272,3120,0.71%,2.51%
IL7115-707-507,1192309,970635,182347,2122,0.69%,2.33%
IL7115-710-507,1066371,813657,210896,2597,0.75%,2.83%
IL7115-711-507,1133164,885835,198673,1754,0.75%,3.28%
IL7115-712-507,1107843,848699,209170,4256,0.79%,3.23%
IL7115-714-507,1023811,790066,184648,4255,0.81%,3.48%
IL7115-715-507,1096334,850504,202036,2005,0.70%,3.01%
IL7115-716-507,1223305,979752,201535,2262,0.71%,2.48%
IL7115-718-507,1158089,954612,166299,2369,0.68%,2.26%
IL7115-719-507,1220696,986197,192715,2499,0.68%,2.45%
IL7115-720-507,1279552,984496,221806,2426,0.69%,4.77%
IL7115-721-507,1172710,881413,237954,3467,0.74%,3.43%
IL7115-722-507,1354986,1072701,228664,3749,0.70%,2.88%
IL7115-723-507,1142246,853744,233063,1972,0.76%,3.89%
IL7115-724-507,1165186,886197,224127,4250,0.77%,3.42%
IL7115-726-507,1195662,927517,223865,3704,0.73%,2.52%
IL7115-727-507,1230525,941301,237211,2761,0.75%,3.12%
IL7115-728-507,58,33,8,0,10.34%,18.97%
IL7115-729-507,7,1,5,0,0.00%,14.29%
IL7115-701-518,1232045,963785,210913,3741,0.72%,3.53%
IL7115-702-518,718717,550782,133848,3777,0.80%,3.20%
IL7115-703-518,1035388,764554,229717,1357,0.74%,3.06%
IL7115-704-518,1237162,980854,216862,2045,0.70%,2.26%
IL7115-705-518,1144578,915619,192259,2823,0.70%,2.19%
IL7115-706-518,1074170,836251,196569,2816,0.75%,2.75%
IL7115-707-518,1198784,923661,225304,2750,0.73%,3.16%
IL7115-710-518,1046685,798144,201853,2127,0.74%,3.43%
IL7115-711-518,1181634,913024,228827,2601,0.72%,2.35%
IL7115-712-518,1163298,892289,217419,4382,0.76%,3.31%
IL7115-714-518,1130197,866568,221100,2257,0.74%,2.76%
IL7115-715-518,1217228,938289,233895,3002,0.72%,2.70%
IL7115-716-518,1276625,1003783,231209,2227,0.69%,2.33%
IL7115-718-518,1156914,918988,197920,1379,0.73%,2.48%
IL7115-719-518,1052886,824905,187726,3771,0.70%,2.67%
IL7115-720-518,1501824,1178276,260563,3245,0.70%,3.22%
IL7115-721-518,1455435,1078637,290590,2344,0.76%,4.91%
IL7115-722-518,1318455,992884,270368,3425,0.67%,3.00%
IL7115-723-518,1174432,854663,262264,3653,0.70%,3.60%
IL7115-724-518,1432027,1144044,226070,3895,0.64%,3.29%
IL7115-726-518,106030,72612,27116,410,0.80%,4.56%
IL7115-727-518,1499657,1228326,222498,3323,0.62%,2.34%
IL7115-728-518,1520072,1256026,218722,2210,0.67%,2.14%
IL7115-729-518,1563253,1266921,250076,2095,0.61%,2.18%
IL7115-701-508,1275474,1010445,209751,3325,0.66%,3.28%
IL7115-702-508,1126630,863723,217350,2539,0.71%,3.05%
IL7115-703-508,1207757,938878,223574,1952,0.72%,2.83%
IL7115-704-508,1170398,948485,180142,3241,0.68%,2.47%
IL7115-705-508,1297147,1055628,201373,1783,0.63%,2.27%
IL7115-706-508,1159446,928857,189632,2534,0.69%,2.56%
IL7115-707-508,1217925,964602,201654,2332,0.67%,3.32%
IL7115-710-508,1173499,939617,186524,2659,0.71%,3.05%
IL7115-711-508,1192667,935509,210905,3852,0.69%,2.72%
IL7115-712-508,1311745,1072829,196534,1989,0.64%,2.39%
IL7115-714-508,1335576,1101220,183369,3534,0.66%,2.75%
IL7115-715-508,1192845,957757,186058,4244,0.68%,2.97%
IL7115-716-508,1265315,989486,232843,1562,0.68%,2.51%
IL7115-718-508,1264603,1041953,179159,2058,0.65%,2.56%
IL7115-719-508,1321655,1087502,181307,1538,0.64%,3.20%
IL7115-720-508,1379702,1072711,243515,5966,0.68%,3.27%
IL7115-721-508,1583443,1277041,246690,5488,0.66%,2.67%
IL7115-722-508,1371530,1103970,220663,2139,0.64%,2.55%
IL7115-723-508,1250220,1010988,194940,2715,0.68%,2.59%
IL7115-724-508,1361770,1033088,269278,6369,0.70%,2.97%
IL7115-726-508,1241166,846713,321055,3207,0.73%,4.75%
IL7115-727-508,1553771,1257802,235205,4444,0.67%,2.81%
IL7115-728-508,1041841,883808,120840,2013,0.61%,2.71%
IL7115-729-508,19,11,3,0,10.53%,15.79%
IL7115-701-520,1137304,934597,162127,3323,0.74%,2.48%
IL7115-702-520,1027443,845428,141095,1897,0.70%,3.01%
IL7115-703-520,1124040,843274,211808,5143,0.75%,4.80%
IL7115-704-520,1220855,835884,323288,3020,0.75%,3.89%
IL7115-705-520,1482742,1160352,265718,4135,0.67%,2.83%
IL7115-706-520,1335827,1082528,197868,2911,0.71%,3.18%
IL7115-707-520,1379617,1112448,209264,3689,0.69%,3.18%
IL7115-710-520,1254176,1060531,149336,3546,0.69%,2.41%
IL7115-711-520,1272690,1032286,189808,2704,0.69%,2.99%
IL7115-712-520,1328171,1113786,172810,1826,0.68%,2.26%
IL7115-714-520,1190014,911815,223415,3637,0.73%,3.50%
IL7115-715-520,1334401,1057629,221688,2907,0.70%,3.05%
IL7115-716-520,1296063,1053677,189910,4628,0.69%,2.95%
IL7115-718-520,1266138,1022238,188023,2462,0.68%,3.42%
IL7115-719-520,1329950,1076698,207087,1611,0.66%,2.64%
IL7115-720-520,1279876,1011702,198771,4686,0.71%,4.24%
IL7115-721-520,1263574,1047499,179987,1380,0.73%,1.98%
IL7115-722-520,1217533,1008165,155768,4749,0.73%,3.16%
IL7115-723-520,1289490,1068376,178068,2210,0.69%,2.35%
IL7115-724-520,1455640,1205705,206396,1704,0.67%,2.17%
IL7115-726-520,1508565,1202603,251118,3495,0.74%,2.56%
IL7115-727-520,823784,522784,265703,1421,0.88%,3.20%
IL7115-728-520,774763,625440,115903,1825,0.70%,3.28%
IL7115-729-520,9,3,1,0,11.11%,44.44%
IL7115-701-510,1277258,1021643,204474,4042,0.70%,2.92%
IL7115-702-510,1044176,859729,145875,2505,0.72%,2.69%
IL7115-703-510,1157859,952192,160421,3571,0.70%,2.81%
IL7115-704-510,1275996,1067714,163307,2177,0.68%,2.47%
IL7115-705-510,1246950,1023503,184768,1497,0.65%,2.23%
IL7115-706-510,1070923,828129,198047,1969,0.77%,3.18%
IL7115-707-510,1121685,869756,198175,2122,0.69%,3.77%
IL7115-710-510,971997,762094,155907,4895,0.78%,4.13%
IL7115-711-510,1093829,879731,152743,5856,0.71%,4.26%
IL7115-712-510,1295794,1077382,174467,2629,0.64%,2.48%
IL7116-701-502,2002,1073,236,1,1.05%,33.52%
IL7116-702-502,542661,272586,130780,62,0.77%,24.89%
IL7116-703-502,598764,211700,202951,972,0.89%,29.68%
IL7116-704-502,295181,92745,66083,776,0.83%,45.05%
IL7116-705-502,392013,215895,104746,1647,0.86%,16.91%
IL7116-706-502,247038,95416,39367,376,0.76%,44.51%
IL7116-707-502,217435,4317,2196,151,0.79%,96.14%
IL7116-710-502,220452,10867,2729,41,0.30%,93.51%
IL7116-711-502,227030,29394,8510,75,0.58%,82.68%
IL7116-712-502,222053,26592,6483,84,0.85%,84.21%
IL7116-714-502,322164,198392,37633,1900,0.74%,25.41%
IL7116-715-502,234012,4106,5555,148,0.57%,95.23%
IL7116-716-502,441365,232796,160720,893,0.95%,9.64%
IL7116-718-502,430891,293914,101748,1041,0.91%,6.99%
IL7116-719-502,449527,284355,102751,292,0.86%,12.96%
IL7116-720-502,430804,295036,102290,450,0.83%,6.83%
IL7116-721-502,472009,308518,141390,1310,0.94%,3.38%
IL7116-722-502,457584,300503,115167,181,0.91%,8.21%
IL7116-723-502,387063,253267,75300,627,0.90%,14.02%
IL7116-724-502,697503,347694,311861,3309,1.12%,3.68%
IL7116-726-502,605362,353378,189097,1126,0.96%,9.23%
IL7116-727-502,516290,292946,187366,2069,0.73%,5.83%
IL7116-728-502,768787,361865,187444,2808,0.74%,27.43%
IL7116-729-502,39,16,5,0,5.13%,41.03%
IL7116-701-513,1553309,362976,348049,151,0.70%,53.51%
IL7116-702-513,1363212,821384,352432,965,0.76%,13.06%
IL7116-703-513,1135199,8320,2866,135,0.40%,98.59%
IL7116-704-513,1118586,15632,13527,96,0.56%,96.81%
IL7116-705-513,1076548,43814,12739,182,0.46%,94.26%
IL7116-706-513,1049716,35477,23607,127,0.52%,93.83%
IL7116-707-513,1072716,3453,7500,129,0.43%,98.53%
IL7116-710-513,1137124,15466,18466,189,0.36%,96.63%
IL7116-711-513,1601790,1139041,153830,533,0.86%,18.38%
IL7116-712-513,1642502,1148218,141539,84,0.70%,20.77%
IL7116-714-513,1593546,1060405,155275,1068,0.71%,22.91%
IL7116-715-513,1641442,1230815,193274,264,0.75%,12.48%
IL7116-716-513,1534098,1028873,183812,2166,0.68%,20.08%
IL7116-718-513,1458263,925733,157550,88,0.68%,25.02%
IL7116-719-513,1493715,1098070,209598,793,0.77%,11.63%
IL7116-720-513,1600951,1112223,166660,105,0.70%,19.41%
IL7116-721-513,1480801,1032061,180132,2432,0.80%,17.17%
IL7116-722-513,1442691,1046208,160315,79,0.76%,15.60%
IL7116-723-513,1436951,947933,199197,1477,0.77%,19.29%
IL7116-724-513,1577125,1154910,113354,346,0.68%,18.87%
IL7116-726-513,1552207,1133313,136677,88,0.72%,17.45%
IL7116-727-513,1697834,1165490,283424,185,0.90%,13.74%
IL7116-728-513,1634046,963703,202660,379,0.69%,27.90%
IL7116-729-513,1560914,449703,62262,898,0.39%,66.74%
IL7116-701-503,1769973,741319,384747,9875,0.70%,35.07%
IL7116-702-503,1506770,1130674,184678,86,0.81%,11.89%
IL7116-703-503,1494549,954579,114427,742,0.74%,27.67%
IL7116-704-503,1458693,924742,127118,602,0.63%,27.08%
IL7116-705-503,1604568,1026071,157955,2479,0.64%,25.17%
IL7116-706-503,1809923,1403234,166268,608,0.74%,12.51%
IL7116-707-503,1803546,1407928,271076,17074,0.81%,4.98%
IL7116-710-503,1527866,1096455,180880,205,0.76%,15.62%
IL7116-711-503,1426199,995146,156302,4396,0.76%,18.19%
IL7116-712-503,1834374,1263890,131155,2649,0.61%,23.20%
IL7116-714-503,1726921,1255578,269198,3517,0.81%,10.69%
IL7116-715-503,1714877,1142021,197833,86,0.62%,21.24%
IL7116-716-503,1739091,1148454,177884,381,0.66%,23.00%
IL7116-718-503,1610008,1005309,183099,6415,0.71%,25.00%
IL7116-719-503,1624366,1219683,128401,385,0.68%,16.30%
IL7116-720-503,1636925,858987,258911,99,0.57%,31.13%
IL7116-721-503,1713135,1193428,166820,68,0.67%,19.93%
IL7116-722-503,1724835,1191338,207581,198,0.82%,18.06%
IL7116-723-503,1813624,1139491,188152,113,0.80%,25.99%
IL7116-724-503,1629115,728631,348639,119,0.71%,33.15%
IL7116-726-503,214,68,20,1,5.61%,52.80%
IL7116-727-503,1716724,1104720,156639,11380,0.68%,25.15%
IL7116-728-503,1832728,1187927,155085,598,0.72%,25.81%
IL7116-729-503,374,277,14,0,1.07%,21.12%
N289Barcode_701-502,202234,176478,19797,317,0.82%,1.91%
N289Barcode_702-502,377190,307188,56071,968,0.96%,2.42%
N289Barcode_703-502,771857,626065,88149,1040,0.83%,6.46%
N289Barcode_704-502,493644,458596,19965,739,0.71%,2.07%
N289Barcode_705-502,968401,904023,42158,1373,0.62%,1.43%
N289Barcode_706-502,679356,634048,26386,1052,0.74%,1.85%
N289Barcode_707-502,1066458,952566,87401,1237,0.71%,1.64%
N289Barcode_710-502,668803,447625,185892,2326,0.88%,3.76%
N289Barcode_711-502,896840,548881,308324,2180,0.95%,3.18%
N289Barcode_712-502,861236,750416,77226,3056,0.80%,2.67%
N289Barcode_714-502,920033,843958,52179,1391,0.74%,1.68%
N289Barcode_715-502,729173,643264,41125,823,0.72%,5.29%
N289Barcode_716-502,75,22,8,0,4.00%,56.00%
N289Barcode_718-502,380953,239252,42075,567,0.83%,25.13%
N289Barcode_719-502,755089,691369,43391,1067,0.74%,1.71%
N289Barcode_720-502,611604,570480,28147,638,0.65%,1.34%
N289Barcode_721-502,446538,410825,23574,541,0.69%,1.88%
N289Barcode_722-502,228091,211884,10628,259,0.69%,1.62%
N289Barcode_723-502,141558,127394,10110,189,0.71%,1.99%
N289Barcode_724-502,202956,184526,11840,361,0.66%,2.36%
N289Barcode_726-502,66205,56363,6823,291,0.87%,2.79%
N289Barcode_727-502,36854,30490,3402,192,0.95%,6.00%
N289Barcode_728-502,1177178,1047306,85751,2694,0.83%,2.57%
N289Barcode_729-502,1368097,1063491,261726,4171,0.87%,1.86%
N289Barcode_701-513,659463,516145,118088,1774,1.03%,2.48%
N289Barcode_702-513,784099,630341,125781,2670,0.93%,2.23%
N289Barcode_703-513,1186200,988862,166257,2501,0.88%,1.47%
N289Barcode_704-513,1224004,991225,195191,4383,0.88%,1.78%
N289Barcode_705-513,1170754,916570,196536,8394,1.00%,3.13%
N289Barcode_706-513,1114056,918753,162497,2263,0.91%,1.80%
N289Barcode_707-513,1429404,1104985,270209,7868,0.95%,2.24%
N289Barcode_710-513,1189793,942975,207806,4767,0.93%,1.87%
N289Barcode_711-513,1205894,969382,195991,5524,0.98%,1.86%
N289Barcode_712-513,1271147,1057847,164676,6338,0.90%,2.31%
N289Barcode_714-513,890074,695600,156277,6542,0.85%,2.61%
N289Barcode_715-513,1031654,830970,162150,4728,0.92%,2.23%
N289Barcode_716-513,1110096,877563,189010,4689,0.93%,2.51%
N289Barcode_718-513,1086775,896998,152410,1453,0.87%,2.38%
N289Barcode_719-513,762190,633857,92552,4568,0.93%,3.07%
N289Barcode_720-513,871347,706720,130103,4471,0.94%,2.40%
N289Barcode_721-513,1420685,1144684,227406,4276,0.88%,2.20%
N289Barcode_722-513,793726,632488,125550,5049,1.06%,2.66%
N289Barcode_723-513,988359,804683,150636,2309,0.92%,2.14%
N289Barcode_724-513,947010,725365,192539,5060,0.91%,1.58%
N289Barcode_726-513,830082,718547,78397,2790,0.84%,2.74%
N289Barcode_727-513,1014577,811708,175879,2139,0.90%,1.49%
N289Barcode_728-513,1791578,1467418,279896,5040,0.86%,1.28%
N289Barcode_729-513,1344127,1114055,187125,5096,0.86%,1.83%
N289Barcode_701-503,244111,187424,49513,722,1.00%,1.56%
N289Barcode_702-503,407178,311482,78467,1148,0.95%,2.93%
N289Barcode_703-503,726275,571784,125208,5275,0.93%,2.30%
N289Barcode_704-503,756961,620776,111197,1945,0.89%,2.12%
N289Barcode_705-503,1217021,973641,205344,3482,0.86%,1.91%
N289Barcode_706-503,781540,604122,156352,1643,0.94%,1.51%
N289Barcode_707-503,1169074,911777,203545,7185,0.99%,2.89%
N289Barcode_710-503,944247,756963,160817,1062,0.87%,1.79%
N289Barcode_711-503,1126920,832912,243480,4956,0.84%,3.20%
N289Barcode_712-503,1358426,1099680,210279,6704,0.92%,2.08%
N289Barcode_714-503,1232266,991803,211127,2675,0.87%,1.23%
N289Barcode_715-503,691369,585983,65639,4249,0.91%,4.10%
N289Barcode_716-503,1516293,1226105,250118,3080,0.86%,1.55%
N289Barcode_718-503,1344022,1090358,218235,3490,0.92%,1.44%
N289Barcode_719-503,1178649,788700,299536,3819,0.88%,6.41%
N289Barcode_720-503,1195094,857878,269939,2811,0.86%,4.49%
N289Barcode_721-503,1227774,850690,291666,1450,0.88%,5.94%
N289Barcode_722-503,894628,620428,206620,2057,0.88%,6.36%
N289Barcode_723-503,1221643,855309,280868,1991,0.85%,5.96%
N289Barcode_724-503,1519267,1082290,361708,1441,0.80%,3.99%
N289Barcode_726-503,1252364,871842,295413,1947,0.86%,5.73%
N289Barcode_727-503,1302137,852378,333105,4291,0.86%,7.72%
N289Barcode_728-503,1244986,873947,276038,4272,0.87%,6.30%
N289Barcode_729-503,739218,546423,120190,1536,0.82%,8.71%
N289Barcode_701-515,500496,321266,134916,1285,0.97%,7.53%
N289Barcode_702-515,938691,669813,215037,2112,0.86%,4.57%
N289Barcode_703-515,840446,572287,168464,1744,0.92%,10.71%
N289Barcode_704-515,957271,677335,216927,1439,0.86%,5.53%
N289Barcode_705-515,1265650,901795,260753,6573,0.87%,6.29%
N289Barcode_706-515,1149606,837516,219653,5271,0.88%,6.58%
N289Barcode_707-515,1337130,1063387,214849,2649,0.88%,3.26%
N289Barcode_710-515,751914,544005,173343,1468,0.88%,3.41%
N289Barcode_711-515,1088210,775739,237124,3402,0.88%,5.65%
N289Barcode_712-515,819972,577656,180929,2298,0.85%,6.18%
