library,input,uniquely_mapped,multiple_loci,too_many_loci,percent_unmapped_too_many_mismatches,percent_unmapped_too_short
IL7051-727-513,1807160,1545518,210179,7973,0.71%,1.63%
IL7051-728-513,1540458,1296627,204825,3925,0.72%,1.53%
IL7051-729-513,1524284,1307011,180007,4576,0.66%,1.43%
IL7051-701-503,1261896,1121604,113918,2540,0.70%,1.14%
IL7051-702-503,1112346,984666,105262,1453,0.67%,1.12%
IL7051-703-503,1266877,1027192,167945,3563,0.89%,4.30%
IL7051-704-503,872039,743114,104706,2307,0.73%,1.71%
IL7051-705-503,950754,812923,110921,4372,0.72%,1.60%
IL7051-706-503,56504,52772,2690,123,0.58%,0.99%
IL7051-707-503,979701,851552,102576,3529,0.74%,1.45%
IL7051-710-503,923217,814509,90101,1440,0.70%,1.10%
IL7051-711-503,63878,57815,4320,155,0.68%,1.75%
IL7051-712-503,748497,634074,64142,1658,0.83%,5.61%
IL7051-714-503,1151889,986551,134959,3772,0.69%,1.56%
IL7051-715-503,1157959,994561,135396,4174,0.70%,1.28%
IL7051-716-503,1404056,1152405,193164,1574,0.73%,3.23%
IL7051-718-503,1481030,1243424,201284,4996,0.71%,1.34%
IL7051-719-503,12990,11246,1273,45,0.81%,2.36%
IL7051-720-503,1170126,991740,153515,1774,0.69%,1.25%
IL7051-721-503,1613489,1355645,222017,2662,0.68%,1.26%
IL7051-722-503,860813,724700,113309,2456,0.66%,1.62%
IL7051-723-503,1505978,1245664,217159,6607,0.69%,1.67%
IL7051-724-503,1308787,1079210,191245,5060,0.74%,1.67%
IL7051-726-503,1530055,1284422,205064,5737,0.67%,1.44%
IL7051-727-503,1354485,1099815,219605,3177,0.71%,1.60%
IL7051-728-503,1909181,1641300,226026,4487,0.67%,1.17%
IL7051-729-503,2034559,1730734,257936,4597,0.65%,1.33%
IL7051-701-515,40732,36945,2770,100,0.61%,1.58%
IL7051-702-515,712193,619544,71599,2103,0.74%,1.83%
IL7051-703-515,1673575,1445409,186382,3570,0.68%,1.51%
IL7051-704-515,1871329,1633321,196303,2537,0.65%,1.41%
IL7051-705-515,1462,65,31,1,3.01%,90.36%
IL7051-706-515,683981,585909,82141,1111,0.74%,1.36%
IL7051-707-515,1281481,1107928,125768,11493,0.61%,2.13%
IL7051-710-515,65604,60026,4018,188,0.61%,1.38%
IL7051-711-515,1843590,1618886,178345,6473,0.67%,1.39%
IL7051-712-515,1864514,1632757,180901,8123,0.64%,1.53%
IL7051-714-515,1917316,1611768,253566,6317,0.68%,1.62%
IL7051-715-515,1317603,1104817,165934,7148,0.80%,2.11%
IL7051-716-515,194206,161083,25071,632,0.77%,2.94%
IL7051-718-515,1038122,897077,115885,2059,0.73%,1.44%
IL7051-719-515,1349520,1164716,156818,3238,0.70%,1.08%
IL7051-720-515,1016083,867678,115768,3083,0.74%,2.10%
IL7051-721-515,1481451,1246649,193047,3835,0.70%,1.80%
IL7051-722-515,1132299,974132,126265,4155,0.75%,1.63%
IL7051-723-515,1027321,817830,180215,3340,0.78%,1.60%
IL7051-724-515,1649753,1369990,248969,2888,0.68%,0.97%
IL7051-726-515,1409795,1194415,175327,4493,0.73%,1.73%
IL7051-727-515,1300089,1092593,165140,5248,0.73%,2.02%
IL7051-728-515,1278537,1087251,160824,3151,0.70%,1.37%
IL7051-729-515,1554937,1331817,183278,4210,0.67%,1.56%
IL7051-701-505,975813,833441,113634,4278,0.78%,1.65%
IL7051-702-505,682016,568065,96743,2020,0.76%,1.43%
IL7051-703-505,476604,399451,62858,1418,0.83%,1.83%
IL7051-704-505,955540,815425,114836,2833,0.82%,1.47%
IL7051-705-505,1124135,949842,133417,7185,0.78%,2.13%
IL7051-706-505,969904,815296,131474,1306,0.72%,1.47%
IL7051-707-505,487130,410553,66841,406,0.77%,1.13%
IL7051-710-505,85617,73812,9833,143,0.68%,1.42%
IL7051-711-505,1488849,1253007,181769,8690,0.79%,2.11%
IL7051-712-505,1525159,1326831,164395,2365,0.70%,1.25%
IL7051-714-505,1825505,1599243,181250,7325,0.69%,1.29%
IL7051-715-505,1339942,1090892,217463,2411,0.71%,1.39%
IL7051-716-505,1547266,1285278,218772,5431,0.72%,1.69%
IL7051-718-505,1280305,1097481,154266,2442,0.71%,1.25%
IL7051-719-505,1241532,1021930,189619,3409,0.73%,1.38%
IL7051-720-505,951693,809523,119063,3112,0.73%,1.27%
IL7051-721-505,1079473,891071,160438,3376,0.75%,1.49%
IL7051-722-505,1184514,997205,157393,2550,0.73%,1.53%
IL7051-723-505,1374500,1153934,172728,6925,0.75%,2.11%
IL7051-724-505,1388096,1178986,173896,5072,0.71%,1.39%
IL7051-726-505,1156635,977899,143108,6082,0.74%,1.73%
IL7051-727-505,1209353,1008075,161258,6355,0.77%,1.94%
IL7051-728-505,1359899,1140583,165279,8112,0.84%,2.42%
IL7051-729-505,1081298,874531,180505,1515,0.71%,1.52%
IL7051-701-516,87785,74195,8926,248,0.72%,4.17%
IL7051-702-516,1597911,1402520,155229,6403,0.64%,1.39%
IL7051-703-516,1460113,1232771,180625,7968,0.75%,1.85%
IL7051-704-516,1418054,1226494,171492,1450,0.65%,0.64%
IL7051-705-516,973265,832458,115060,2102,0.74%,1.60%
IL7051-706-516,910723,801924,91967,1611,0.71%,0.89%
IL7051-707-516,1026310,827893,152506,3794,0.76%,3.32%
IL7051-710-516,1245547,1032955,175327,4272,0.73%,1.84%
IL7051-711-516,1751424,1464209,248524,2192,0.63%,1.40%
IL7051-712-516,217177,194712,18219,546,0.55%,1.06%
IL7051-714-516,72883,61340,9905,186,0.61%,1.32%
IL7051-715-516,112,25,8,0,12.50%,58.04%
IL7051-716-516,1390563,1093835,180311,5004,0.70%,7.20%
IL7051-718-516,1507133,1248776,210285,4518,0.71%,2.09%
IL7051-719-516,1524807,1280006,203472,2992,0.72%,1.69%
IL7051-720-516,1485496,1172263,276526,3614,0.69%,1.48%
